epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5,1.6905,6.22434,0.66006,3.36019,1.6261,0.13279,0.245,0.17013,0.06272,0.14092,0.26,0.14631,0.03362,2.31745,5.94427,0.52785,5.48255,2.06715,0.000543844,0.000543844,0.000543844
2,63.2748,1.26514,3.4082,0.46374,1.60003,1.16525,0.59212,0.57333,0.49891,0.27412,0.48396,0.50746,0.40441,0.16277,1.61107,4.07544,0.22013,4.46745,1.52678,0.00109588,0.00109588,0.00109588
3,85.9686,1.2633,2.72732,0.39815,1.25507,1.15812,0.67455,0.82317,0.8233,0.52439,0.63365,0.78,0.75074,0.32496,1.19748,2.83661,0.08227,3.66417,1.17266,0.00164425,0.00164425,0.00164425
4,108.567,1.25666,2.44674,0.37268,1.16772,1.15982,0.55914,0.48833,0.45518,0.27375,0.5541,0.53,0.45895,0.21261,1.61254,3.52127,0.12871,2.83748,1.47158,0.0016505,0.0016505,0.0016505
5,130.93,1.22907,2.23751,0.37002,1.07778,1.14189,0.89605,0.86565,0.91492,0.6509,0.8925,0.86061,0.90768,0.55777,0.97313,1.92395,0.08338,0.90714,1.06189,0.001645,0.001645,0.001645
6,153.339,1.18336,2.18988,0.36898,1.03996,1.11559,0.75938,0.67333,0.75103,0.48736,0.74044,0.635,0.69255,0.34692,1.25543,3.18915,0.0946,1.65627,1.18699,0.00163949,0.00163949,0.00163949
7,175.831,1.18678,2.15076,0.349,1.02148,1.1089,0.88558,0.94,0.95597,0.69071,0.88869,0.94667,0.95776,0.68451,0.96017,1.41,0.07611,0.98065,1.02176,0.00163399,0.00163399,0.00163399
8,200.162,1.153,1.97106,0.32507,0.94625,1.10505,0.92676,0.90333,0.94889,0.69174,0.92399,0.91141,0.94961,0.68908,0.99174,1.50992,0.06455,0.74731,1.05299,0.00162849,0.00162849,0.00162849
9,222.784,1.10508,1.78829,0.31864,0.88391,1.07462,0.94717,0.87275,0.93158,0.6692,0.95317,0.84849,0.90286,0.62029,0.96261,1.69165,0.07128,0.91634,1.05699,0.00162299,0.00162299,0.00162299
10,245.25,1.10039,1.82677,0.30664,0.85991,1.07695,0.95929,0.94333,0.97605,0.69945,0.95277,0.95833,0.9797,0.72185,0.98187,1.10932,0.06483,0.93986,1.01962,0.00161749,0.00161749,0.00161749
11,269.07,1.07537,1.67719,0.2873,0.84309,1.07181,0.94387,0.87285,0.9658,0.72326,0.93927,0.88863,0.96606,0.7335,0.86641,1.15093,0.06038,0.67704,0.98514,0.00161199,0.00161199,0.00161199
