epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9678,2.1601,7.41727,0.6921,3.59455,2.57621,0.08839,0.11944,0.02957,0.00631,0.02827,0.04167,0.00297,0.00043,3.45497,7.19193,0.84557,4.44127,3.80713,0.000541775,0.000541775,0.000541775
2,38.875,1.81605,4.86495,0.63251,2.85256,2.3289,0.09891,0.24338,0.05275,0.01316,0.58813,0.07222,0.03659,0.00939,3.31607,6.35446,0.67199,4.7067,3.79749,0.00109382,0.00109382,0.00109382
3,57.8735,1.79249,3.79819,0.59212,2.79502,2.29288,0.52,0.05,0.01035,0.00243,0.52195,0.07222,0.01395,0.0033,3.65893,6.07506,0.7373,3.71507,3.93927,0.0016422,0.0016422,0.0016422
4,76.9211,1.78123,2.98145,0.5472,2.75581,2.29245,0.60584,0.07222,0.04599,0.01222,0.63005,0.1,0.05503,0.0213,3.03756,4.32871,0.65844,4.73169,3.3344,0.0016505,0.0016505,0.0016505
5,95.7528,1.72677,2.56305,0.52999,2.73197,2.24757,0.55578,0.10556,0.03034,0.00626,0.56698,0.12778,0.04814,0.01434,2.86991,3.49772,0.59302,4.41208,3.07015,0.001645,0.001645,0.001645
6,114.683,1.69096,2.39901,0.49272,2.66807,2.20055,0.58475,0.13333,0.06781,0.01984,0.5972,0.15016,0.07761,0.02995,2.64576,3.10694,0.65832,4.10685,2.95813,0.00163949,0.00163949,0.00163949
7,133.518,1.67613,2.18358,0.4736,2.68172,2.20728,0.11625,0.16667,0.09041,0.02812,0.11717,0.22778,0.10855,0.04516,2.59095,3.33847,0.86597,3.38834,3.03741,0.00163399,0.00163399,0.00163399
8,152.654,1.61098,2.13832,0.45543,2.64305,2.14795,0.66116,0.20556,0.11626,0.03554,0.67169,0.24444,0.13931,0.05728,2.42258,2.72242,0.56337,3.2717,2.84959,0.00162849,0.00162849,0.00162849
9,171.761,1.64416,2.14161,0.43594,2.68317,2.18239,0.62363,0.12778,0.09912,0.03409,0.62412,0.14444,0.11657,0.0521,2.5439,2.61708,0.49133,3.68776,2.83731,0.00162299,0.00162299,0.00162299
10,190.964,1.58117,1.95791,0.41568,2.61441,2.10329,0.69628,0.08977,0.09548,0.02783,0.12187,0.17778,0.11351,0.05211,2.51001,2.4905,0.55474,3.66888,2.70255,0.00161749,0.00161749,0.00161749
11,213.833,1.55847,1.94501,0.39584,2.58731,2.11429,0.63371,0.16111,0.0918,0.03047,0.65676,0.18889,0.13035,0.05145,2.42872,2.60806,0.94949,3.79686,2.76705,0.00161199,0.00161199,0.00161199
12,232.75,1.54861,1.86913,0.38354,2.58977,2.11649,0.62019,0.22222,0.11237,0.03828,0.63776,0.26111,0.14102,0.06854,2.35814,2.24732,0.54163,3.23709,2.77882,0.00160649,0.00160649,0.00160649
13,251.811,1.51791,1.84686,0.38578,2.57629,2.10558,0.56957,0.16667,0.05419,0.01546,0.59619,0.23822,0.08225,0.03334,2.33436,2.28643,0.42889,3.27171,2.70682,0.00160099,0.00160099,0.00160099
14,270.853,1.4544,1.75352,0.3588,2.52316,2.03107,0.12748,0.23333,0.11106,0.03343,0.14595,0.31111,0.14105,0.06187,2.32581,2.35646,0.45275,3.07325,2.65995,0.00159549,0.00159549,0.00159549
15,289.56,1.49157,1.80549,0.36338,2.58257,2.06162,0.61685,0.17778,0.10065,0.03531,0.61897,0.25556,0.1263,0.06031,2.04784,1.91112,0.55193,3.47279,2.48061,0.00158998,0.00158998,0.00158998
16,308.512,1.45147,1.76501,0.33815,2.46321,2.0437,0.60512,0.22222,0.08798,0.02598,0.62851,0.27222,0.12228,0.04927,2.20062,2.23332,0.40481,3.14183,2.5338,0.00158448,0.00158448,0.00158448
17,327.324,1.48501,1.78708,0.34355,2.4999,2.0595,0.62971,0.22222,0.1206,0.03502,0.65152,0.28333,0.15386,0.06601,2.3287,2.28082,0.4958,2.99356,2.57966,0.00157898,0.00157898,0.00157898
18,346.09,1.46566,1.74061,0.33065,2.4853,2.02652,0.62329,0.26667,0.13861,0.05249,0.63357,0.28889,0.1493,0.08072,2.22403,2.1832,0.62066,3.12732,2.66709,0.00157348,0.00157348,0.00157348
19,365.068,1.41127,1.66259,0.33961,2.50848,2.0086,0.622,0.21111,0.10495,0.03294,0.65332,0.27222,0.14492,0.06362,2.37262,2.208,0.28669,3.11958,2.59151,0.00156798,0.00156798,0.00156798
20,387.661,1.44867,1.77981,0.33587,2.51323,2.0064,0.6426,0.27264,0.13964,0.04459,0.66049,0.30556,0.17684,0.07774,2.20436,2.05934,0.71091,3.08648,2.61147,0.00156248,0.00156248,0.00156248
21,406.449,1.4178,1.70786,0.32586,2.44679,1.98731,0.6086,0.25556,0.10516,0.03051,0.62705,0.29525,0.12237,0.05825,2.30415,2.10687,0.48681,3.07442,2.56812,0.00155698,0.00155698,0.00155698
22,425.395,1.44609,1.74041,0.3215,2.41948,2.01534,0.65061,0.25556,0.12241,0.03737,0.66227,0.3,0.14223,0.06627,2.13851,1.84463,0.46795,3.01846,2.44878,0.00155148,0.00155148,0.00155148
